ts,lst,intrinsic_sol,dex_price_sol,disc_pct,dex,pool_liq_usd,net_after_costs_pct,actionable
2026-07-08T22:30:51.963171+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T22:45:28.501423+00:00,jitoSOL,1.275866,1.2879,-0.9432,meteora,2529056,-1.1432,0
2026-07-08T22:45:28.501423+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T22:45:28.501423+00:00,bSOL,1.290721,1.3027,-0.9281,meteora,360282,-1.1281,0
2026-07-08T22:45:28.501423+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T22:45:28.501423+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158235,-1.2013,0
2026-07-08T22:45:28.501423+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,488,-1.0815,0
2026-07-08T22:45:28.501423+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T23:00:59.456744+00:00,jitoSOL,1.275866,1.288,-0.951,orca,5478328,-1.151,0
2026-07-08T23:00:59.456744+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T23:00:59.456744+00:00,bSOL,1.290721,1.3027,-0.9281,meteora,360282,-1.1281,0
2026-07-08T23:00:59.456744+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T23:00:59.456744+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158314,-1.2013,0
2026-07-08T23:00:59.456744+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,488,-1.0815,0
2026-07-08T23:00:59.456744+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T23:15:35.983211+00:00,jitoSOL,1.275866,1.288,-0.951,orca,5526864,-1.151,0
2026-07-08T23:15:35.983211+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T23:15:35.983211+00:00,bSOL,1.290721,1.3028,-0.9358,meteora,361215,-1.1358,0
2026-07-08T23:15:35.983211+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T23:15:35.983211+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158289,-1.2182,0
2026-07-08T23:15:35.983211+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,488,-1.0815,0
2026-07-08T23:15:35.983211+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T23:30:52.734002+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,5749291,-1.1745,0
2026-07-08T23:30:52.734002+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1400593,-1.1336,0
2026-07-08T23:30:52.734002+00:00,bSOL,1.290721,1.3028,-0.9358,orca,375036,-1.1358,0
2026-07-08T23:30:52.734002+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T23:30:52.734002+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158350,-1.2182,0
2026-07-08T23:30:52.734002+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,489,-1.0725,0
2026-07-08T23:30:52.734002+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T23:35:36.336285+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,5750054,-1.1745,0
2026-07-08T23:35:36.336285+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1400593,-1.1336,0
2026-07-08T23:35:36.336285+00:00,bSOL,1.290721,1.3028,-0.9358,orca,375036,-1.1358,0
2026-07-08T23:35:36.336285+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T23:35:36.336285+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158452,-1.2182,0
2026-07-08T23:35:36.336285+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,489,-1.0725,0
2026-07-08T23:35:36.336285+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T23:45:30.642346+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,5967673,-1.1745,0
2026-07-08T23:45:30.642346+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1400593,-1.1336,0
2026-07-08T23:45:30.642346+00:00,bSOL,1.290721,1.3027,-0.9281,orca,417220,-1.1281,0
2026-07-08T23:45:30.642346+00:00,INF,1.407837,1.4341,-1.8655,meteora,245652,-2.0655,0
2026-07-08T23:45:30.642346+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158330,-1.2182,0
2026-07-08T23:45:30.642346+00:00,bnSOL,1.110411,1.1204,-0.8995,meteora,489,-1.0995,0
2026-07-08T23:45:30.642346+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T00:00:58.879037+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6194481,-1.1745,0
2026-07-09T00:00:58.879037+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1405472,-1.1336,0
2026-07-09T00:00:58.879037+00:00,bSOL,1.290721,1.3027,-0.9281,orca,457288,-1.1281,0
2026-07-09T00:00:58.879037+00:00,INF,1.407837,1.4341,-1.8655,meteora,247016,-2.0655,0
2026-07-09T00:00:58.879037+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158947,-1.2182,0
2026-07-09T00:00:58.879037+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,489,-1.0725,0
2026-07-09T00:00:58.879037+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T00:15:30.185827+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6191746,-1.1745,0
2026-07-09T00:15:30.185827+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1403671,-1.1336,0
2026-07-09T00:15:30.185827+00:00,bSOL,1.290721,1.3027,-0.9281,orca,456967,-1.1281,0
2026-07-09T00:15:30.185827+00:00,INF,1.407837,1.4341,-1.8655,meteora,247016,-2.0655,0
2026-07-09T00:15:30.185827+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,158773,-1.2267,0
2026-07-09T00:15:30.185827+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,490,-1.0725,0
2026-07-09T00:15:30.185827+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T00:30:49.698774+00:00,jitoSOL,1.275866,1.2881,-0.9589,orca,6188920,-1.1589,0
2026-07-09T00:30:49.698774+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1401149,-1.1336,0
2026-07-09T00:30:49.698774+00:00,bSOL,1.290721,1.3027,-0.9281,orca,457497,-1.1281,0
2026-07-09T00:30:49.698774+00:00,INF,1.407837,1.4341,-1.8655,meteora,247016,-2.0655,0
2026-07-09T00:30:49.698774+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,158657,-1.2267,0
2026-07-09T00:30:49.698774+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,490,-1.0725,0
2026-07-09T00:30:49.698774+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T01:00:55.655441+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6195039,-1.1745,0
2026-07-09T01:00:55.655441+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1402779,-1.1336,0
2026-07-09T01:00:55.655441+00:00,bSOL,1.290721,1.3029,-0.9436,orca,458246,-1.1436,0
2026-07-09T01:00:55.655441+00:00,INF,1.407837,1.4341,-1.8655,meteora,247016,-2.0655,0
2026-07-09T01:00:55.655441+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,158677,-1.2267,0
2026-07-09T01:00:55.655441+00:00,bnSOL,1.110411,1.1204,-0.8995,meteora,490,-1.0995,0
2026-07-09T01:00:55.655441+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T01:15:30.355494+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6258244,-1.1745,0
2026-07-09T01:15:30.355494+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1416146,-1.1336,0
2026-07-09T01:15:30.355494+00:00,bSOL,1.290721,1.3027,-0.9281,orca,463657,-1.1281,0
2026-07-09T01:15:30.355494+00:00,INF,1.407837,1.4338,-1.8441,meteora,248546,-2.0441,0
2026-07-09T01:15:30.355494+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,160296,-1.2267,0
2026-07-09T01:15:30.355494+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,494,-1.0815,0
2026-07-09T01:15:30.355494+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T01:15:46.497221+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6258244,-1.1745,0
2026-07-09T01:15:46.497221+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1416146,-1.1336,0
2026-07-09T01:15:46.497221+00:00,bSOL,1.290721,1.3027,-0.9281,orca,463657,-1.1281,0
2026-07-09T01:15:46.497221+00:00,INF,1.407837,1.4338,-1.8441,meteora,248546,-2.0441,0
2026-07-09T01:15:46.497221+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,160296,-1.2267,0
2026-07-09T01:15:46.497221+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,494,-1.0815,0
2026-07-09T01:15:46.497221+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T01:30:49.434797+00:00,jitoSOL,1.275866,1.2879,-0.9432,orca,6253326,-1.1432,0
2026-07-09T01:30:49.434797+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1412176,-1.1336,0
2026-07-09T01:30:49.434797+00:00,bSOL,1.290721,1.3029,-0.9436,orca,464346,-1.1436,0
2026-07-09T01:30:49.434797+00:00,INF,1.407837,1.4341,-1.8655,meteora,248571,-2.0655,0
2026-07-09T01:30:49.434797+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,160013,-1.2267,0
2026-07-09T01:30:49.434797+00:00,bnSOL,1.110411,1.1204,-0.8995,meteora,493,-1.0995,0
2026-07-09T01:30:49.434797+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T01:45:32.429982+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6226278,-1.1745,0
2026-07-09T01:45:32.429982+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1401882,-1.1336,0
2026-07-09T01:45:32.429982+00:00,bSOL,1.290721,1.3027,-0.9281,orca,466368,-1.1281,0
2026-07-09T01:45:32.429982+00:00,INF,1.407837,1.4341,-1.8655,meteora,247365,-2.0655,0
2026-07-09T01:45:32.429982+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,160013,-1.2267,0
2026-07-09T01:45:32.429982+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,490,-1.0815,0
2026-07-09T01:45:32.429982+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T02:00:55.665513+00:00,jitoSOL,1.275866,1.2884,-0.9824,orca,6221789,-1.1824,0
2026-07-09T02:00:55.665513+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1397007,-1.1336,0
2026-07-09T02:00:55.665513+00:00,bSOL,1.290721,1.3027,-0.9281,orca,465514,-1.1281,0
2026-07-09T02:00:55.665513+00:00,INF,1.407837,1.4338,-1.8441,meteora,245406,-2.0441,0
2026-07-09T02:00:55.665513+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,158760,-1.2267,0
2026-07-09T02:00:55.665513+00:00,bnSOL,1.110411,1.1201,-0.8725,meteora,488,-1.0725,0
2026-07-09T02:00:55.665513+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T02:15:31.483901+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6256243,-1.1745,0
2026-07-09T02:15:31.483901+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1397369,-1.1336,0
2026-07-09T02:15:31.483901+00:00,bSOL,1.290721,1.3027,-0.9281,orca,468039,-1.1281,0
2026-07-09T02:15:31.483901+00:00,INF,1.407837,1.434,-1.8583,meteora,246782,-2.0583,0
2026-07-09T02:15:31.483901+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,159026,-1.2267,0
2026-07-09T02:15:31.483901+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,491,-1.0815,0
2026-07-09T02:15:31.483901+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T02:30:50.954980+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6244178,-1.1745,0
2026-07-09T02:30:50.954980+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1405678,-1.1336,0
2026-07-09T02:30:50.954980+00:00,bSOL,1.290721,1.3027,-0.9281,orca,467618,-1.1281,0
2026-07-09T02:30:50.954980+00:00,INF,1.407837,1.434,-1.8583,meteora,246528,-2.0583,0
2026-07-09T02:30:50.954980+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,159088,-1.2267,0
2026-07-09T02:30:50.954980+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,490,-1.0815,0
2026-07-09T02:30:50.954980+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
